post_id,fecha_id,fecha,plataforma,tipo_contenido,formato,es_dia_partido,jornada,jornada_etiqueta,resultado,rival,condicion,alcance,impresiones,likes,comentarios,compartidos,guardados,interacciones,comentarios_positivos,comentarios_negativos,comentarios_neutros,atipico
P00458,20241018,2024-10-18,Instagram,Institucional,Imagen,0,,,,,,13198.0,15483.0,358.0,26,32,20.0,436.0,15,6,5,False
P00459,20241018,2024-10-18,Instagram,Entrenamiento,Vídeo corto,0,,,,,,35974.0,50368.0,2454.0,188,167,108.0,2917.0,80,46,62,False
P00460,20241018,2024-10-18,Instagram,Efeméride,Texto,0,,,,,,37036.0,46307.0,945.0,55,84,92.0,1176.0,32,10,13,False
P00461,20241018,2024-10-18,X,Resumen,Carrusel,0,,,,,,38192.0,56180.0,1036.0,63,98,126.0,1323.0,29,17,17,False
P00462,20241018,2024-10-18,X,Cantera,Texto,0,,,,,,16041.0,22566.0,78.0,4,5,7.0,94.0,2,0,2,False
P00463,20241018,2024-10-18,X,Cantera,Vídeo corto,0,,,,,,20770.0,28467.0,265.0,15,16,20.0,316.0,8,3,4,False
P00464,20241018,2024-10-18,YouTube,Patrocinador,Vídeo corto,0,,,,,,7189.0,10183.0,87.0,7,4,5.0,103.0,4,1,2,False
P00465,20241019,2024-10-19,Instagram,Resumen,Imagen,1,9.0,J09,Victoria,SD Torrelinda,Local,10730.0,15142.0,569.0,47,38,59.0,713.0,36,4,7,False
P00466,20241019,2024-10-19,X,Efeméride,Vídeo corto,1,9.0,J09,Victoria,SD Torrelinda,Local,14724.0,17255.0,261.0,20,22,15.0,318.0,12,4,4,False
P00467,20241019,2024-10-19,X,Previa,Imagen,1,9.0,J09,Victoria,SD Torrelinda,Local,29622.0,36557.0,440.0,31,22,39.0,532.0,22,3,6,False
P00468,20241019,2024-10-19,X,Resumen,Vídeo largo,1,9.0,J09,Victoria,SD Torrelinda,Local,10312.0,15889.0,278.0,14,28,14.0,334.0,9,2,3,False
P00469,20241019,2024-10-19,Facebook,Directo,Imagen,1,9.0,J09,Victoria,SD Torrelinda,Local,32702.0,49380.0,469.0,28,36,43.0,576.0,13,5,10,False
P00470,20241019,2024-10-19,Facebook,Previa,Vídeo corto,1,9.0,J09,Victoria,SD Torrelinda,Local,10900.0,16252.0,256.0,23,17,17.0,313.0,14,3,6,False
P00471,20241019,2024-10-19,Facebook,Directo,Vídeo corto,1,9.0,J09,Victoria,SD Torrelinda,Local,17422.0,22402.0,368.0,30,37,1.0,436.0,17,6,7,False
P00472,20241019,2024-10-19,Facebook,Resumen,Vídeo corto,1,9.0,J09,Victoria,SD Torrelinda,Local,24032.0,31558.0,463.0,34,28,32.0,557.0,22,5,7,False
P00473,20241019,2024-10-19,TikTok,Directo,Vídeo corto,1,9.0,J09,Victoria,SD Torrelinda,Local,12189.0,17599.0,1514.0,114,107,32.0,1767.0,81,19,14,False
P00474,20241019,2024-10-19,TikTok,Directo,Vídeo corto,1,9.0,J09,Victoria,SD Torrelinda,Local,12041.0,14582.0,1271.0,73,74,74.0,1492.0,55,6,12,False
P00475,20241020,2024-10-20,Instagram,Resumen,Carrusel,0,,,,,,55399.0,64159.0,3167.0,261,242,91.0,3761.0,131,81,49,False
P00476,20241020,2024-10-20,X,Afición,Texto,0,,,,,,8353.0,10346.0,63.0,5,4,4.0,76.0,1,1,3,False
P00477,20241020,2024-10-20,X,Cantera,Texto,0,,,,,,17273.0,20609.0,110.0,6,11,4.0,131.0,3,1,2,False
P00478,20241020,2024-10-20,X,Institucional,Vídeo largo,0,,,,,,12065.0,19549.0,90.0,5,8,11.0,114.0,2,1,2,False
P00479,20241020,2024-10-20,X,Patrocinador,Vídeo corto,0,,,,,,41927.0,58762.0,413.0,31,27,39.0,510.0,14,6,11,False
P00480,20241020,2024-10-20,Facebook,Fichajes,Vídeo corto,0,,,,,,3751.0,4717.0,80.0,6,4,8.0,98.0,3,1,2,False
P00481,20241020,2024-10-20,Facebook,Cantera,Imagen,0,,,,,,15525.0,20075.0,99.0,7,9,1.0,116.0,3,1,3,False
P00482,20241020,2024-10-20,Facebook,Entrenamiento,Carrusel,0,,,,,,15886.0,22806.0,169.0,16,12,18.0,215.0,10,2,4,False
P00483,20241020,2024-10-20,TikTok,Cantera,Vídeo corto,0,,,,,,14231.0,21302.0,883.0,48,52,80.0,1063.0,26,12,10,False
P00484,20241020,2024-10-20,TikTok,Resumen,Vídeo corto,0,,,,,,9754.0,4721.0,450.0,35,47,0.0,532.0,18,6,11,False
P00485,20241020,2024-10-20,TikTok,Patrocinador,Vídeo corto,0,,,,,,9876.0,10476.0,299.0,25,19,35.0,378.0,12,6,7,False
P00486,20241020,2024-10-20,YouTube,Institucional,Vídeo largo,0,,,,,,9545.0,12438.0,134.0,8,13,6.0,161.0,3,2,3,False
P00487,20241020,2024-10-20,YouTube,Patrocinador,Vídeo corto,0,,,,,,7252.0,8699.0,160.0,9,13,22.0,204.0,6,1,2,False
P00488,20241021,2024-10-21,X,Resumen,Texto,0,,,,,,20056.0,22807.0,329.0,20,26,17.0,392.0,11,4,5,False
P00489,20241021,2024-10-21,YouTube,Entrenamiento,Vídeo largo,0,,,,,,1608.0,2342.0,28.0,1,1,3.0,33.0,0,0,1,False
P00490,20241022,2024-10-22,Instagram,Previa,Imagen,0,,,,,,571800.0,643320.0,20832.0,1896,1296,66.0,24090.0,34,19,1843,False
P00491,20241022,2024-10-22,Instagram,Afición,Carrusel,0,,,,,,12390.0,18878.0,704.0,62,62,69.0,897.0,29,17,16,False
P00492,20241022,2024-10-22,Instagram,Patrocinador,Imagen,0,,,,,,16311.0,23851.0,258.0,21,13,37.0,329.0,10,3,8,False
P00493,20241022,2024-10-22,X,Patrocinador,Texto,0,,,,,,75245.0,98146.0,110.0,9,7,14.0,140.0,5,1,3,False
P00494,20241022,2024-10-22,Facebook,Cantera,Carrusel,0,,,,,,6009.0,6974.0,52.0,4,3,2.0,61.0,2,0,2,False
P00495,20241022,2024-10-22,Facebook,Patrocinador,Vídeo corto,0,,,,,,25017.0,29371.0,384.0,30,20,44.0,478.0,15,7,8,False
P00496,20241022,2024-10-22,Facebook,Fichajes,Imagen,0,,,,,,19284.0,31224.0,215.0,15,24,17.0,271.0,8,3,4,False
P00497,20241022,2024-10-22,Facebook,Entrenamiento,Carrusel,0,,,,,,32701.0,44949.0,339.0,20,26,45.0,430.0,11,3,6,False
P00498,20241023,2024-10-23,Instagram,Directo,Imagen,0,,,,,,41055.0,59180.0,1931.0,107,158,78.0,2274.0,67,15,25,False
P00499,20241023,2024-10-23,Facebook,Entrenamiento,Carrusel,0,,,,,,17326.0,20485.0,177.0,10,16,10.0,213.0,5,2,3,False
P00500,20241023,2024-10-23,Facebook,Patrocinador,Vídeo corto,0,,,,,,25443.0,40741.0,193.0,12,16,10.0,231.0,6,2,4,False
P00501,20241023,2024-10-23,Facebook,Fichajes,Carrusel,0,,,,,,13199.0,17341.0,283.0,19,27,32.0,361.0,10,3,6,False
P00502,20241023,2024-10-23,TikTok,Afición,Vídeo corto,0,,,,,,7361.0,10762.0,812.0,78,76,61.0,1027.0,49,13,16,False
P00503,20241023,2024-10-23,TikTok,Patrocinador,Vídeo corto,0,,,,,,4178.0,5041.0,188.0,15,16,11.0,230.0,7,4,4,False
P00504,20241023,2024-10-23,YouTube,Entrenamiento,Vídeo corto,0,,,,,,4326.0,5142.0,87.0,8,9,7.0,111.0,3,1,4,False
P00505,20241024,2024-10-24,X,Previa,Vídeo largo,0,,,,,,39389.0,50523.0,539.0,49,54,0.0,642.0,26,8,15,False
P00506,20241024,2024-10-24,X,Efeméride,Texto,0,,,,,,8546.0,9882.0,87.0,5,5,10.0,107.0,2,0,3,False
P00507,20241024,2024-10-24,Facebook,Cantera,Carrusel,0,,,,,,10354.0,12724.0,97.0,7,8,2.0,114.0,2,1,4,False
P00508,20241025,2024-10-25,Instagram,Cantera,Vídeo corto,0,,,,,,27511.0,32072.0,1002.0,81,85,110.0,1278.0,44,20,17,False
P00509,20241025,2024-10-25,Facebook,Afición,Imagen,0,,,,,,29753.0,48812.0,406.0,29,38,35.0,508.0,16,6,7,False
P00510,20241025,2024-10-25,TikTok,Patrocinador,Vídeo corto,0,,,,,,5072.0,6321.0,237.0,19,14,21.0,291.0,9,3,7,False
P00511,20241026,2024-10-26,Instagram,Previa,Imagen,1,10.0,J10,Derrota,UD Almendral,Visitante,18273.0,25842.0,411.0,41,29,37.0,518.0,11,16,14,False
P00512,20241026,2024-10-26,Instagram,Previa,Carrusel,1,10.0,J10,Derrota,UD Almendral,Visitante,34791.0,54418.0,1305.0,72,76,182.0,1635.0,20,22,30,False
P00513,20241026,2024-10-26,X,Institucional,Carrusel,1,10.0,J10,Derrota,UD Almendral,Visitante,25036.0,38713.0,189.0,12,15,21.0,237.0,4,3,5,False
P00514,20241026,2024-10-26,X,Institucional,Texto,1,10.0,J10,Derrota,UD Almendral,Visitante,31658.0,42458.0,89.0,6,8,8.0,111.0,1,2,3,False
P00515,20241026,2024-10-26,X,Previa,Vídeo corto,1,10.0,J10,Derrota,UD Almendral,Visitante,15056.0,19965.0,199.0,13,20,21.0,253.0,4,4,5,False
P00516,20241026,2024-10-26,X,Directo,Imagen,1,10.0,J10,Derrota,UD Almendral,Visitante,14190.0,16319.0,342.0,23,21,18.0,404.0,5,8,10,False
P00517,20241026,2024-10-26,Facebook,Directo,Vídeo largo,1,10.0,J10,Derrota,UD Almendral,Visitante,18616.0,30557.0,134.0,9,7,12.0,162.0,3,2,4,False
P00518,20241026,2024-10-26,Facebook,Resumen,Vídeo largo,1,10.0,J10,Derrota,UD Almendral,Visitante,17855.0,29208.0,98.0,8,6,4.0,116.0,2,3,3,False
P00519,20241026,2024-10-26,Facebook,Directo,Carrusel,1,10.0,J10,Derrota,UD Almendral,Visitante,28877.0,33577.0,218.0,20,21,4.0,263.0,7,7,6,False
P00520,20241026,2024-10-26,Facebook,Fichajes,Vídeo corto,1,10.0,J10,Derrota,UD Almendral,Visitante,14218.0,19591.0,222.0,19,16,8.0,265.0,6,5,8,False
P00521,20241026,2024-10-26,Facebook,Entrenamiento,Carrusel,1,10.0,J10,Derrota,UD Almendral,Visitante,25092.0,31334.0,178.0,14,18,0.0,210.0,3,4,7,False
P00522,20241026,2024-10-26,Facebook,Fichajes,Imagen,1,10.0,J10,Derrota,UD Almendral,Visitante,28190.0,35518.0,434.0,22,33,27.0,516.0,6,5,11,False
P00523,20241026,2024-10-26,TikTok,Entrenamiento,Vídeo corto,1,10.0,J10,Derrota,UD Almendral,Visitante,10304.0,15602.0,468.0,22,47,16.0,553.0,8,5,9,False
P00524,20241026,2024-10-26,TikTok,Fichajes,Vídeo corto,1,10.0,J10,Derrota,UD Almendral,Visitante,8244.0,9565.0,1763.0,163,141,35.0,2102.0,59,46,58,False
P00525,20241026,2024-10-26,YouTube,Efeméride,Vídeo corto,1,10.0,J10,Derrota,UD Almendral,Visitante,17934.0,25213.0,569.0,39,42,27.0,677.0,10,11,18,False
P00526,20241027,2024-10-27,X,Fichajes,Texto,0,,,,,,27809.0,42768.0,391.0,29,41,34.0,495.0,15,7,7,False
P00527,20241027,2024-10-27,X,Cantera,Texto,0,,,,,,16480.0,22732.0,113.0,10,7,4.0,134.0,5,2,3,False
P00528,20241027,2024-10-27,Facebook,Fichajes,Imagen,0,,,,,,26438.0,38517.0,413.0,32,27,17.0,489.0,20,5,7,False
P00529,20241027,2024-10-27,Facebook,Fichajes,Imagen,0,,,,,,10658.0,14248.0,199.0,11,20,17.0,247.0,5,3,3,False
P00530,20241027,2024-10-27,TikTok,Entrenamiento,Vídeo corto,0,,,,,,7340.0,9074.0,732.0,49,55,46.0,882.0,25,11,13,False
P00531,20241027,2024-10-27,YouTube,Resumen,Vídeo corto,0,,,,,,3268.0,3704.0,248.0,19,18,6.0,291.0,9,4,6,False
P00532,20241028,2024-10-28,Instagram,Efeméride,Vídeo corto,0,,,,,,23649.0,33084.0,1745.0,130,113,107.0,2095.0,86,23,21,False
P00533,20241028,2024-10-28,Instagram,Resumen,Imagen,0,,,,,,33510.0,49407.0,1320.0,92,92,53.0,1557.0,48,27,17,False
P00534,20241028,2024-10-28,Instagram,Institucional,Imagen,0,,,,,,17428.0,21017.0,192.0,15,10,18.0,235.0,7,4,4,False
P00535,20241028,2024-10-28,X,Cantera,Vídeo corto,0,,,,,,24510.0,36708.0,294.0,15,25,35.0,369.0,8,3,4,False
P00536,20241028,2024-10-28,Facebook,Entrenamiento,Carrusel,0,,,,,,16850.0,26152.0,144.0,11,14,11.0,180.0,6,2,3,False
P00537,20241028,2024-10-28,Facebook,Efeméride,Carrusel,0,,,,,,16897.0,19110.0,213.0,19,22,7.0,261.0,9,4,6,False
P00538,20241028,2024-10-28,Facebook,Entrenamiento,Texto,0,,,,,,26010.0,41346.0,248.0,14,18,39.0,319.0,7,2,5,False
P00539,20241028,2024-10-28,YouTube,Efeméride,Vídeo largo,0,,,,,,3755.0,5406.0,98.0,6,5,7.0,116.0,2,1,3,False
P00540,20241028,2024-10-28,YouTube,Resumen,Vídeo corto,0,,,,,,3856.0,5500.0,214.0,11,13,13.0,251.0,6,2,3,False
P00541,20241029,2024-10-29,Instagram,Entrenamiento,Imagen,0,,,,,,31999.0,38716.0,1148.0,94,64,63.0,1369.0,60,13,21,False
P00542,20241029,2024-10-29,Instagram,Patrocinador,Imagen,0,,,,,,25055.0,34410.0,457.0,27,40,48.0,572.0,14,5,8,False
P00543,20241029,2024-10-29,X,Patrocinador,Texto,0,,,,,,14053.0,21546.0,84.0,6,8,2.0,100.0,2,1,3,False
P00544,20241029,2024-10-29,X,Afición,Vídeo corto,0,,,,,,44156.0,62981.0,1024.0,65,98,107.0,1294.0,33,15,17,False
P00545,20241029,2024-10-29,Facebook,Entrenamiento,Imagen,0,,,,,,16415.0,18909.0,141.0,13,15,12.0,181.0,7,2,4,False
P00546,20241029,2024-10-29,TikTok,Patrocinador,Vídeo corto,0,,,,,,3607.0,4620.0,207.0,10,10,31.0,258.0,5,2,3,False
P00547,20241029,2024-10-29,TikTok,Fichajes,Vídeo corto,0,,,,,,6176.0,7551.0,884.0,63,53,58.0,1058.0,32,15,16,False
P00548,20241030,2024-10-30,Instagram,Entrenamiento,Texto,0,,,,,,50735.0,83186.0,1181.0,117,66,125.0,1489.0,62,23,32,False
P00549,20241030,2024-10-30,Instagram,Cantera,Vídeo corto,0,,,,,,55274.0,62393.0,3693.0,177,346,193.0,4409.0,95,31,51,False
P00550,20241030,2024-10-30,X,Patrocinador,Vídeo corto,0,,,,,,19405.0,30717.0,147.0,7,14,10.0,178.0,4,1,2,False
P00551,20241030,2024-10-30,X,Efeméride,Texto,0,,,,,,17549.0,24193.0,148.0,9,8,14.0,179.0,5,1,3,False
P00552,20241030,2024-10-30,Facebook,Cantera,Vídeo corto,0,,,,,,13423.0,15807.0,118.0,7,9,10.0,144.0,4,1,2,False
P00553,20241031,2024-10-31,Instagram,Patrocinador,Vídeo corto,0,,,,,,12018.0,16064.0,287.0,24,28,1.0,340.0,12,5,7,False
P00554,20241031,2024-10-31,X,Entrenamiento,Vídeo corto,0,,,,,,18677.0,23662.0,290.0,23,25,17.0,355.0,11,5,7,False
P00555,20241031,2024-10-31,Facebook,Patrocinador,Imagen,0,,,,,,11406.0,13030.0,40.0,2,3,5.0,50.0,1,0,1,False
P00556,20241031,2024-10-31,Facebook,Entrenamiento,Vídeo corto,0,,,,,,7185.0,10901.0,100.0,5,7,6.0,118.0,2,1,2,False
P00557,20241031,2024-10-31,Facebook,Cantera,Imagen,0,,,,,,10171.0,21428.0,53.0,2,5,4.0,64.0,1,0,1,False
P00558,20241031,2024-10-31,TikTok,Efeméride,Vídeo corto,0,,,,,,8865.0,13630.0,708.0,62,38,25.0,833.0,35,13,14,False
P00559,20241101,2024-11-01,Instagram,Cantera,Imagen,0,,,,,,21252.0,26905.0,445.0,37,45,44.0,571.0,22,7,8,False
P00560,20241101,2024-11-01,X,Patrocinador,Vídeo corto,0,,,,,,25643.0,34805.0,195.0,13,17,23.0,248.0,6,3,4,False
P00561,20241101,2024-11-01,Facebook,Patrocinador,Imagen,0,,,,,,17267.0,21646.0,83.0,5,4,11.0,103.0,2,1,2,False
P00562,20241101,2024-11-01,TikTok,Patrocinador,Vídeo corto,0,,,,,,6773.0,10543.0,328.0,25,26,17.0,396.0,13,5,7,False
P00563,20241102,2024-11-02,Instagram,Institucional,Imagen,0,,,,,,27499.0,44905.0,569.0,38,28,31.0,666.0,22,6,10,False
P00564,20241102,2024-11-02,Instagram,Entrenamiento,Imagen,0,,,,,,51425.0,63608.0,1134.0,67,76,125.0,1402.0,36,16,15,False
P00565,20241102,2024-11-02,Facebook,Resumen,Vídeo corto,0,,,,,,13721.0,21455.0,332.0,29,29,8.0,398.0,18,5,6,False
P00566,20241102,2024-11-02,Facebook,Entrenamiento,Vídeo largo,0,,,,,,19029.0,25157.0,156.0,13,8,15.0,192.0,7,3,3,False
P00567,20241102,2024-11-02,YouTube,Efeméride,Vídeo largo,0,,,,,,5782.0,6570.0,141.0,10,9,14.0,174.0,5,1,4,False
P00568,20241103,2024-11-03,Instagram,Efeméride,Vídeo corto,0,,,,,,18498.0,30077.0,925.0,54,96,104.0,1179.0,30,14,10,False
P00569,20241103,2024-11-03,Instagram,Entrenamiento,Imagen,0,,,,,,47549.0,60714.0,1794.0,96,192,103.0,2185.0,55,15,26,False
P00570,20241103,2024-11-03,Instagram,Entrenamiento,Vídeo corto,0,,,,,,15037.0,17754.0,609.0,58,64,28.0,759.0,31,10,17,False
P00571,20241103,2024-11-03,X,Entrenamiento,Vídeo corto,0,,,,,,29820.0,39882.0,604.0,54,48,57.0,763.0,32,11,11,False
P00572,20241103,2024-11-03,X,Institucional,Imagen,0,,,,,,24105.0,34301.0,214.0,14,13,16.0,257.0,6,2,6,False
P00573,20241103,2024-11-03,X,Entrenamiento,Imagen,0,,,,,,18783.0,22918.0,177.0,17,12,20.0,226.0,7,4,6,False
P00574,20241103,2024-11-03,Facebook,Entrenamiento,Imagen,0,,,,,,13461.0,19704.0,122.0,10,13,11.0,156.0,5,2,3,False
P00575,20241103,2024-11-03,Facebook,Directo,Imagen,0,,,,,,13810.0,16497.0,143.0,8,10,19.0,180.0,4,1,3,False
P00576,20241103,2024-11-03,Facebook,Entrenamiento,Vídeo corto,0,,,,,,23806.0,29573.0,361.0,28,33,22.0,444.0,16,5,7,False
P00577,20241103,2024-11-03,Facebook,Patrocinador,Imagen,0,,,,,,17211.0,26919.0,55.0,4,4,5.0,68.0,2,1,1,False
P00578,20241103,2024-11-03,TikTok,Resumen,Vídeo corto,0,,,,,,11197.0,18417.0,1386.0,129,144,0.0,1659.0,58,43,28,False
P00579,20241104,2024-11-04,Instagram,Previa,Carrusel,0,,,,,,25288.0,40161.0,655.0,36,49,72.0,812.0,18,9,9,False
P00580,20241104,2024-11-04,Instagram,Patrocinador,Vídeo corto,0,,,,,,50861.0,60449.0,1918.0,117,198,153.0,2386.0,60,21,36,False
P00581,20241104,2024-11-04,X,Efeméride,Imagen,0,,,,,,9845.0,14852.0,122.0,11,6,5.0,144.0,6,1,4,False
P00582,20241104,2024-11-04,X,Previa,Texto,0,,,,,,23649.0,35448.0,211.0,17,15,22.0,265.0,8,3,6,False
P00583,20241104,2024-11-04,X,Cantera,Imagen,0,,,,,,12735.0,16815.0,122.0,8,9,10.0,149.0,4,1,3,False
P00584,20241104,2024-11-04,X,Cantera,Imagen,0,,,,,,14769.0,16919.0,107.0,9,6,11.0,133.0,4,3,2,False
P00585,20241104,2024-11-04,Facebook,Institucional,Carrusel,0,,,,,,12754.0,16671.0,80.0,7,4,7.0,98.0,4,1,2,False
P00586,20241104,2024-11-04,Facebook,Cantera,Texto,0,,,,,,8744.0,10301.0,42.0,2,3,6.0,53.0,1,0,1,False
P00587,20241105,2024-11-05,Instagram,Resumen,Vídeo corto,0,,,,,,18349.0,27730.0,1079.0,90,106,0.0,1275.0,53,13,24,False
P00588,20241105,2024-11-05,X,Institucional,Texto,0,,,,,,16641.0,20960.0,137.0,9,9,2.0,157.0,4,2,3,False
P00589,20241105,2024-11-05,X,Entrenamiento,Texto,0,,,,,,14814.0,23375.0,110.0,5,7,14.0,136.0,2,1,2,False
P00590,20241105,2024-11-05,YouTube,Patrocinador,Vídeo corto,0,,,,,,6919.0,7996.0,100.0,5,6,10.0,121.0,2,0,3,False
P00591,20241106,2024-11-06,X,Entrenamiento,Texto,0,,,,,,25108.0,37039.0,174.0,14,16,15.0,219.0,7,3,4,False
P00592,20241106,2024-11-06,X,Institucional,Imagen,0,,,,,,27098.0,41192.0,99.0,8,6,2.0,115.0,3,1,4,False
P00593,20241106,2024-11-06,X,Entrenamiento,Vídeo largo,0,,,,,,29076.0,35872.0,259.0,21,23,8.0,311.0,11,3,7,False
P00594,20241106,2024-11-06,X,Previa,Vídeo corto,0,,,,,,27888.0,37725.0,640.0,36,41,65.0,782.0,26,3,7,False
P00595,20241106,2024-11-06,X,Afición,Imagen,0,,,,,,25207.0,37267.0,294.0,25,24,0.0,343.0,13,4,8,False
P00596,20241106,2024-11-06,Facebook,Efeméride,Carrusel,0,,,,,,8231.0,13179.0,114.0,7,6,8.0,135.0,3,1,3,False
P00597,20241107,2024-11-07,Instagram,Cantera,Imagen,0,,,,,,16067.0,18706.0,346.0,19,32,43.0,440.0,11,4,4,False
P00598,20241107,2024-11-07,Instagram,Cantera,Carrusel,0,,,,,,39753.0,64486.0,970.0,88,49,87.0,1194.0,45,16,27,False
P00599,20241107,2024-11-07,Instagram,Entrenamiento,Carrusel,0,,,,,,35667.0,44802.0,1343.0,69,114,102.0,1628.0,46,13,10,False
P00600,20241107,2024-11-07,Instagram,Previa,Vídeo corto,0,,,,,,15442.0,23607.0,1266.0,61,86,82.0,1495.0,33,11,17,False
P00601,20241107,2024-11-07,X,Entrenamiento,Imagen,0,,,,,,9435.0,11427.0,115.0,5,9,8.0,137.0,2,1,2,False
P00602,20241107,2024-11-07,X,Efeméride,Imagen,0,,,,,,18576.0,44836.0,311.0,21,25,37.0,394.0,10,5,6,False
P00603,20241107,2024-11-07,YouTube,Entrenamiento,Vídeo corto,0,,,,,,2117.0,2587.0,69.0,5,6,9.0,89.0,2,1,2,False
P00604,20241108,2024-11-08,X,Cantera,Texto,0,,,,,,29643.0,37561.0,259.0,15,21,21.0,316.0,8,3,4,False
P00605,20241108,2024-11-08,X,Institucional,Texto,0,,,,,,15463.0,21172.0,113.0,6,11,5.0,135.0,3,1,2,False
P00606,20241108,2024-11-08,X,Resumen,Vídeo corto,0,,,,,,18560.0,20834.0,456.0,35,34,27.0,552.0,15,10,10,False
P00607,20241108,2024-11-08,X,Institucional,Texto,0,,,,,,17620.0,24424.0,149.0,8,11,17.0,185.0,4,1,3,False
P00608,20241108,2024-11-08,YouTube,Afición,Vídeo largo,0,,,,,,7693.0,10369.0,187.0,11,18,11.0,227.0,5,2,4,False
P00609,20241108,2024-11-08,YouTube,Entrenamiento,Vídeo largo,0,,,,,,8365.0,13002.0,131.0,11,6,15.0,163.0,6,2,3,False
P00610,20241109,2024-11-09,Instagram,Directo,Carrusel,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,44399.0,59342.0,1502.0,83,108,55.0,1748.0,23,23,37,False
P00611,20241109,2024-11-09,Instagram,Resumen,Vídeo corto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,10952.0,12401.0,880.0,65,87,0.0,1032.0,31,19,15,False
P00612,20241109,2024-11-09,Instagram,Directo,Vídeo corto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,35166.0,50616.0,2794.0,194,212,160.0,3360.0,63,63,68,False
P00613,20241109,2024-11-09,Instagram,Directo,Texto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,28860.0,46347.0,860.0,67,57,45.0,1029.0,23,27,17,False
P00614,20241109,2024-11-09,Instagram,Previa,Vídeo corto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,31304.0,39347.0,1079.0,96,99,79.0,1353.0,11,45,40,False
P00615,20241109,2024-11-09,Instagram,Previa,Imagen,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,41600.0,57896.0,1380.0,103,153,131.0,1767.0,24,28,51,False
P00616,20241109,2024-11-09,Instagram,Resumen,Carrusel,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,30170.0,37985.0,1049.0,96,65,104.0,1314.0,33,22,41,False
P00617,20241109,2024-11-09,X,Directo,Imagen,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,10026.0,12994.0,106.0,6,9,12.0,133.0,1,2,3,False
P00618,20241109,2024-11-09,X,Institucional,Carrusel,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,39559.0,58563.0,196.0,10,10,27.0,243.0,2,2,6,False
P00619,20241109,2024-11-09,X,Directo,Vídeo corto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,19717.0,23860.0,298.0,25,17,7.0,347.0,7,10,8,False
P00620,20241109,2024-11-09,X,Afición,Texto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,37758.0,44609.0,200.0,13,21,13.0,247.0,3,3,7,False
P00621,20241109,2024-11-09,Facebook,Resumen,Imagen,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,37373.0,42184.0,455.0,35,24,16.0,530.0,10,9,16,False
P00622,20241109,2024-11-09,Facebook,Institucional,Carrusel,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,21486.0,26858.0,97.0,8,8,3.0,116.0,2,3,3,False
P00623,20241109,2024-11-09,Facebook,Directo,Texto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,15129.0,23168.0,91.0,8,7,4.0,110.0,2,2,4,False
P00624,20241109,2024-11-09,Facebook,Patrocinador,Vídeo corto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,9567.0,15120.0,41.0,2,3,6.0,52.0,0,0,2,False
P00625,20241109,2024-11-09,TikTok,Institucional,Vídeo corto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,8302.0,12629.0,247.0,14,21,30.0,312.0,4,5,5,False
P00626,20241109,2024-11-09,TikTok,Afición,Vídeo corto,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,13722.0,16923.0,1225.0,80,75,116.0,1496.0,28,18,34,False
P00627,20241109,2024-11-09,YouTube,Directo,Vídeo largo,1,11.0,J11,Derrota,CD Bahía Norte,Visitante,4530.0,5589.0,109.0,5,11,7.0,132.0,1,1,3,False
P00628,20241110,2024-11-10,X,Entrenamiento,Imagen,0,,,,,,26209.0,39053.0,323.0,16,17,20.0,376.0,10,3,3,False
P00629,20241110,2024-11-10,X,Entrenamiento,Texto,0,,,,,,31994.0,40527.0,385.0,26,23,47.0,481.0,14,5,7,False
P00630,20241110,2024-11-10,Facebook,Entrenamiento,Imagen,0,,,,,,9925.0,15460.0,55.0,5,5,0.0,65.0,2,0,3,False
P00631,20241111,2024-11-11,Instagram,Entrenamiento,Imagen,0,,,,,,49740.0,66245.0,2015.0,127,200,29.0,2371.0,60,23,44,False
P00632,20241111,2024-11-11,X,Patrocinador,Texto,0,,,,,,31810.0,37226.0,102.0,8,5,8.0,123.0,3,1,4,False
P00633,20241111,2024-11-11,TikTok,Cantera,Vídeo corto,0,,,,,,3885.0,5913.0,312.0,23,22,12.0,369.0,13,5,5,False
P00634,20241111,2024-11-11,TikTok,Cantera,Vídeo corto,0,,,,,,10234.0,15511.0,768.0,68,51,77.0,964.0,36,14,18,False
P00635,20241112,2024-11-12,Instagram,Directo,Carrusel,0,,,,,,40254.0,63987.0,1943.0,171,175,33.0,2322.0,118,31,22,False
P00636,20241112,2024-11-12,X,Fichajes,Vídeo corto,0,,,,,,10742.0,13316.0,206.0,14,16,8.0,244.0,8,3,3,False
