aficionado_id,tramo_edad,sexo,tipo_abono,antiguedad_anios,provincia,segmento,cluster
AF-1FE768FF76,25-34,Mujer,Socio digital,10.0,A Coruña,Aficionado latente,0
AF-1D6745E098,18-24,Mujer,Abonado,3.0,Lugo,Sin segmentar,-1
AF-30BA329EAB,35-44,Hombre,Abonado,2.0,Lugo,Aficionado latente,0
AF-5FF2B1CCD0,25-34,Hombre,Socio digital,6.0,Madrid,Sin segmentar,-1
AF-F82DFE8137,45-54,Hombre,No socio,2.0,A Coruña,Aficionado latente,0
AF-9EB62F3FDE,45-54,Hombre,Abonado,15.0,A Coruña,Sin segmentar,-1
AF-BABA8E59D9,35-44,Mujer,No socio,3.0,A Coruña,Aficionado latente,0
AF-8F1186AA9D,35-44,Hombre,No socio,9.0,A Coruña,Comprador de servicios,1
AF-DDF84C537F,55+,Hombre,Abonado,14.0,A Coruña,Aficionado latente,0
AF-18E12F0877,25-34,Mujer,No socio,6.0,A Coruña,Aficionado latente,0
AF-7E9BA07756,25-34,Hombre,No socio,3.0,Asturias,Aficionado latente,0
AF-8E61A08FF2,18-24,Mujer,Abonado,4.0,A Coruña,Sin segmentar,-1
AF-3E86F37048,18-24,Mujer,Socio digital,11.0,Madrid,Comprador de servicios,1
AF-C2C72E4F69,18-24,Mujer,No socio,4.0,A Coruña,Seguidor social,2
AF-5F0A0060C9,45-54,Mujer,Abonado,18.0,A Coruña,Seguidor social,2
AF-55F2EBDC8C,25-34,Mujer,Abonado,6.0,A Coruña,Seguidor social,2
AF-ECFDDC9758,25-34,Mujer,Socio digital,2.0,Ourense,Comprador de servicios,1
AF-67613077CA,35-44,Hombre,Abonado,19.0,Pontevedra,Hincha digital intensivo,3
AF-D2552496E5,55+,Hombre,Socio digital,8.0,A Coruña,Sin segmentar,-1
AF-59B8D10F7D,35-44,Hombre,Socio digital,2.0,Pontevedra,Sin segmentar,-1
AF-D8F0A475CF,35-44,Mujer,Abonado,10.0,A Coruña,Comprador de servicios,1
AF-6CD8CF4A21,35-44,Hombre,No socio,16.0,A Coruña,Sin segmentar,-1
AF-C9F39C1ED2,25-34,Mujer,No socio,14.0,A Coruña,Aficionado latente,0
AF-7DDE00B981,25-34,Hombre,No socio,3.0,A Coruña,Hincha digital intensivo,3
AF-5D7E6788EA,25-34,Mujer,No socio,2.0,A Coruña,Sin segmentar,-1
AF-29C3C53493,25-34,Hombre,Socio digital,5.0,A Coruña,Seguidor social,2
AF-AB085FFE9D,25-34,Hombre,Socio digital,3.0,Pontevedra,Hincha digital intensivo,3
AF-CED4C7BE18,25-34,Hombre,No socio,5.0,A Coruña,Sin segmentar,-1
AF-720D45D3AD,25-34,Hombre,Abonado,11.0,A Coruña,Sin segmentar,-1
AF-9796D898E8,55+,Hombre,Socio digital,10.0,Barcelona,Sin segmentar,-1
AF-8462CBCD11,35-44,Hombre,Socio digital,6.0,A Coruña,Seguidor social,2
AF-7BDAD8F932,25-34,Hombre,Socio digital,5.0,Madrid,Seguidor social,2
AF-03762F3BB4,35-44,Hombre,No socio,5.0,A Coruña,Aficionado latente,0
AF-20A9CA7871,25-34,Mujer,No socio,10.0,Ourense,Seguidor social,2
AF-8E88BA8A16,25-34,Hombre,Abonado,8.0,Asturias,Sin segmentar,-1
AF-EECCE260D9,35-44,Hombre,No socio,3.0,A Coruña,Sin segmentar,-1
AF-FCAD3EDDDB,35-44,Hombre,Abonado,4.0,Ourense,Comprador de servicios,1
AF-0111738FFA,35-44,Hombre,Abonado,6.0,Madrid,Sin segmentar,-1
AF-84A6606C05,25-34,Hombre,No socio,9.0,A Coruña,Sin segmentar,-1
AF-726BAB374E,25-34,Hombre,Abonado,6.0,Pontevedra,Aficionado latente,0
AF-D41FD58C26,55+,Mujer,No socio,2.0,A Coruña,Sin segmentar,-1
AF-458AB9E5A2,18-24,Mujer,Socio digital,7.0,A Coruña,Comprador de servicios,1
AF-904A34E3A4,45-54,Hombre,Abonado,5.0,Pontevedra,Sin segmentar,-1
AF-00BC714C5D,25-34,Hombre,Abonado,11.0,Ourense,Comprador de servicios,1
AF-D9DDFDB5D5,35-44,Hombre,No socio,3.0,A Coruña,Sin segmentar,-1
AF-0B4AC5DB6A,45-54,Hombre,Socio digital,21.0,Pontevedra,Aficionado latente,0
AF-7ED928D619,25-34,Hombre,Abonado,2.0,A Coruña,Seguidor social,2
AF-DD0CD0D166,35-44,Mujer,No socio,3.0,Madrid,Sin segmentar,-1
AF-73B3943BA2,18-24,Hombre,Abonado,3.0,Lugo,Hincha digital intensivo,3
AF-BA66C3835B,35-44,Mujer,Abonado,4.0,A Coruña,Comprador de servicios,1
AF-2815D39260,45-54,Hombre,Abonado,8.0,Madrid,Comprador de servicios,1
AF-60831D4818,45-54,Hombre,No socio,6.0,Pontevedra,Aficionado latente,0
AF-C9CBEEA8D8,35-44,Mujer,Abonado,6.0,Otras,Comprador de servicios,1
AF-B4C295C57A,35-44,Mujer,Abonado,10.0,A Coruña,Comprador de servicios,1
AF-7B0CB7D7CC,18-24,Hombre,No socio,6.0,Otras,Aficionado latente,0
AF-D526264E23,55+,Mujer,Abonado,4.0,Otras,Sin segmentar,-1
AF-EB8E9EE952,18-24,Mujer,Abonado,6.0,A Coruña,Aficionado latente,0
AF-888DAD15D5,35-44,Hombre,Abonado,16.0,Asturias,Comprador de servicios,1
AF-B65CAD3B6D,25-34,Hombre,No socio,7.0,Pontevedra,Sin segmentar,-1
AF-2943D09E9B,25-34,Mujer,Abonado,2.0,Asturias,Hincha digital intensivo,3
AF-4751412723,25-34,Hombre,Socio digital,8.0,A Coruña,Hincha digital intensivo,3
AF-059CA66583,55+,Mujer,No socio,2.0,A Coruña,Aficionado latente,0
AF-27EBA3089B,25-34,Mujer,No socio,10.0,A Coruña,Sin segmentar,-1
AF-2628656763,45-54,Hombre,Socio digital,12.0,A Coruña,Sin segmentar,-1
AF-D39637D5B4,18-24,Mujer,Socio digital,6.0,A Coruña,Hincha digital intensivo,3
AF-4102267151,35-44,Hombre,Abonado,11.0,Lugo,Comprador de servicios,1
AF-7E033842E2,35-44,Mujer,Abonado,2.0,Pontevedra,Comprador de servicios,1
AF-9C32E89097,18-24,Mujer,No socio,4.0,Lugo,Sin segmentar,-1
AF-A963AD08D2,25-34,Mujer,Socio digital,12.0,A Coruña,Aficionado latente,0
AF-E8A89D0519,18-24,Mujer,Abonado,9.0,Barcelona,Hincha digital intensivo,3
AF-D4A8A1E4BD,35-44,Hombre,Socio digital,6.0,A Coruña,Comprador de servicios,1
AF-9E7489D6B8,35-44,Hombre,No socio,1.0,A Coruña,Seguidor social,2
AF-4FB4571648,35-44,Mujer,No socio,9.0,A Coruña,Seguidor social,2
AF-553ACB8B1B,45-54,Mujer,No socio,4.0,Lugo,Seguidor social,2
AF-5987FC9E2D,35-44,Mujer,No socio,4.0,Otras,Aficionado latente,0
AF-DB0819D155,18-24,Mujer,No socio,4.0,A Coruña,Sin segmentar,-1
AF-B09FB446E3,45-54,Hombre,Abonado,1.0,Ourense,Hincha digital intensivo,3
AF-F205E2718D,55+,Mujer,Socio digital,5.0,Lugo,Seguidor social,2
AF-BAE512B0EB,35-44,Mujer,No socio,12.0,A Coruña,Sin segmentar,-1
AF-F2C8071FFD,35-44,Hombre,Abonado,6.0,A Coruña,Hincha digital intensivo,3
AF-78B842C605,45-54,Hombre,Abonado,0.0,A Coruña,Sin segmentar,-1
AF-5F45F8E1B7,18-24,Hombre,No socio,14.0,Pontevedra,Aficionado latente,0
AF-BED79B928A,25-34,Hombre,Socio digital,16.0,Otras,Aficionado latente,0
AF-7BDE69CEED,35-44,Hombre,Socio digital,11.0,Pontevedra,Sin segmentar,-1
AF-1E19BCA10C,55+,Mujer,Abonado,10.0,Ourense,Sin segmentar,-1
AF-1026E625A3,25-34,Hombre,Abonado,21.0,A Coruña,Comprador de servicios,1
AF-C2E44A7EF9,35-44,Hombre,Abonado,12.0,A Coruña,Comprador de servicios,1
AF-793B7228F8,55+,Mujer,Socio digital,4.0,Pontevedra,Hincha digital intensivo,3
AF-D30DFE1CA4,18-24,Hombre,No socio,5.0,Ourense,Sin segmentar,-1
AF-C6A3BFEBC0,35-44,Hombre,Abonado,7.0,Pontevedra,Comprador de servicios,1
AF-992EB0EF4C,25-34,Hombre,Abonado,2.0,A Coruña,Sin segmentar,-1
AF-E233B7A0A7,25-34,Mujer,Abonado,7.0,Asturias,Hincha digital intensivo,3
AF-D2CFE82CF0,18-24,Hombre,Abonado,13.0,Lugo,Hincha digital intensivo,3
AF-2A8FDD834A,25-34,Hombre,Socio digital,7.0,Pontevedra,Hincha digital intensivo,3
AF-38D0EEF4F8,45-54,Mujer,Abonado,2.0,Madrid,Comprador de servicios,1
AF-4E9B4E9B17,55+,Hombre,No socio,3.0,A Coruña,Seguidor social,2
AF-B5B9EBE6AB,55+,Hombre,No socio,8.0,A Coruña,Sin segmentar,-1
AF-A9D038F2CA,45-54,Mujer,Abonado,1.0,Otras,Hincha digital intensivo,3
AF-701BFB20FC,25-34,Hombre,No socio,7.0,Otras,Sin segmentar,-1
AF-19E26A1D9B,55+,Hombre,No socio,24.0,A Coruña,Hincha digital intensivo,3
AF-34A6D1DFE1,35-44,Hombre,Abonado,7.0,A Coruña,Sin segmentar,-1
AF-6CF7ED4E31,45-54,Hombre,Abonado,9.0,Pontevedra,Aficionado latente,0
AF-D4812056DA,25-34,Hombre,No socio,2.0,A Coruña,Seguidor social,2
AF-1B37904844,45-54,Hombre,No socio,7.0,A Coruña,Seguidor social,2
AF-1861F92B84,25-34,Hombre,Socio digital,7.0,Madrid,Aficionado latente,0
AF-2766DA3912,25-34,Hombre,No socio,2.0,Lugo,Seguidor social,2
AF-BBA4AD9A29,25-34,Hombre,No socio,4.0,A Coruña,Seguidor social,2
AF-CB502B2653,25-34,Mujer,No socio,4.0,Otras,Sin segmentar,-1
AF-615A26D23B,18-24,Mujer,Abonado,7.0,A Coruña,Aficionado latente,0
AF-508301F7A4,45-54,Mujer,Socio digital,7.0,A Coruña,Seguidor social,2
AF-E506FB0B5B,45-54,Hombre,No socio,12.0,Ourense,Sin segmentar,-1
AF-873F9F3CFE,25-34,Hombre,No socio,9.0,A Coruña,Seguidor social,2
AF-12FA143294,45-54,Hombre,No socio,7.0,A Coruña,Comprador de servicios,1
AF-B8AE9590A6,35-44,Hombre,Abonado,22.0,Lugo,Comprador de servicios,1
AF-AE86BFAAA9,35-44,Hombre,No socio,11.0,A Coruña,Sin segmentar,-1
AF-FEB5BD5D9D,55+,Mujer,No socio,17.0,A Coruña,Aficionado latente,0
AF-84C284C488,55+,Mujer,No socio,8.0,A Coruña,Seguidor social,2
AF-B5037B172D,25-34,Hombre,No socio,1.0,A Coruña,Comprador de servicios,1
AF-C93EC18D53,25-34,Hombre,Abonado,4.0,Asturias,Comprador de servicios,1
AF-0EF78F399C,18-24,Mujer,No socio,4.0,Madrid,Aficionado latente,0
AF-EC06C49A1E,55+,Mujer,Abonado,5.0,A Coruña,Seguidor social,2
AF-37BE65B678,25-34,Hombre,No socio,10.0,A Coruña,Aficionado latente,0
AF-41088CF5D8,45-54,Mujer,Abonado,5.0,A Coruña,Seguidor social,2
AF-4FA4691EDF,18-24,Mujer,Abonado,6.0,Otras,Seguidor social,2
AF-6461685C3C,25-34,Hombre,No socio,15.0,Madrid,Aficionado latente,0
AF-EEC77204DC,55+,Hombre,Abonado,12.0,Pontevedra,Seguidor social,2
AF-99901FA73C,25-34,Mujer,No socio,7.0,Lugo,Aficionado latente,0
AF-C9372170CB,25-34,Hombre,Socio digital,10.0,Ourense,Sin segmentar,-1
AF-C4F0A7B022,35-44,Hombre,Abonado,7.0,A Coruña,Comprador de servicios,1
AF-89CA51108A,35-44,Hombre,Abonado,12.0,Otras,Comprador de servicios,1
AF-70D7A6AB31,25-34,Hombre,No socio,5.0,Madrid,Sin segmentar,-1
AF-B80470AFFF,35-44,Mujer,Socio digital,6.0,Ourense,Sin segmentar,-1
AF-A163928B6B,35-44,Hombre,Abonado,8.0,Barcelona,Aficionado latente,0
AF-D98676D7FD,45-54,Hombre,No socio,13.0,Otras,Aficionado latente,0
AF-60DBB8ECB0,18-24,Hombre,Socio digital,5.0,A Coruña,Sin segmentar,-1
AF-8A34A140DF,25-34,Hombre,No socio,12.0,A Coruña,Sin segmentar,-1
AF-07F9EEAB2B,25-34,Hombre,No socio,2.0,Pontevedra,Sin segmentar,-1
AF-DB9356FFA0,55+,Hombre,Abonado,6.0,Otras,Sin segmentar,-1
AF-0BE48FF27F,35-44,Mujer,Abonado,4.0,Otras,Hincha digital intensivo,3
AF-19D6808718,45-54,Mujer,No socio,17.0,A Coruña,Seguidor social,2
AF-96BF5E6760,25-34,Hombre,No socio,3.0,A Coruña,Sin segmentar,-1
AF-0FCB0832DC,25-34,Hombre,No socio,10.0,A Coruña,Sin segmentar,-1
AF-F4FDAB6E70,25-34,Hombre,Socio digital,9.0,Pontevedra,Sin segmentar,-1
AF-4365D154DA,45-54,Mujer,No socio,5.0,A Coruña,Sin segmentar,-1
AF-704845ED89,35-44,Hombre,No socio,12.0,Otras,Sin segmentar,-1
AF-DAAB6FFE3D,25-34,Hombre,Abonado,2.0,A Coruña,Seguidor social,2
AF-F0194A4D43,45-54,Hombre,No socio,13.0,A Coruña,Seguidor social,2
AF-FAA97FC643,18-24,Mujer,Socio digital,7.0,Pontevedra,Sin segmentar,-1
AF-03D634CA98,35-44,Hombre,No socio,4.0,Pontevedra,Aficionado latente,0
AF-22943BFCEF,35-44,Hombre,Socio digital,5.0,Madrid,Sin segmentar,-1
AF-4A93FE6190,35-44,Hombre,No socio,13.0,Lugo,Sin segmentar,-1
AF-483CA29082,35-44,Hombre,No socio,3.0,Barcelona,Seguidor social,2
AF-B76471C88F,45-54,Hombre,Socio digital,4.0,Pontevedra,Seguidor social,2
AF-499D2E6E40,25-34,Hombre,No socio,15.0,Otras,Aficionado latente,0
AF-0D057E3DE5,35-44,Mujer,No socio,2.0,A Coruña,Aficionado latente,0
AF-39084F7A21,18-24,Mujer,Socio digital,5.0,Lugo,Seguidor social,2
AF-30BE22DFD7,25-34,Mujer,No socio,9.0,A Coruña,Seguidor social,2
AF-BFACCABAAF,18-24,Mujer,Socio digital,2.0,A Coruña,Seguidor social,2
AF-51866E949E,45-54,Hombre,Abonado,10.0,Madrid,Comprador de servicios,1
AF-9EBE1888BD,18-24,Hombre,Abonado,9.0,A Coruña,Seguidor social,2
AF-FF88D0731A,55+,Mujer,No socio,17.0,A Coruña,Seguidor social,2
AF-130B2A515C,35-44,Hombre,Abonado,5.0,Pontevedra,Comprador de servicios,1
AF-3670E00446,45-54,Mujer,Abonado,3.0,A Coruña,Sin segmentar,-1
AF-F03361363C,18-24,Mujer,No socio,10.0,Madrid,Seguidor social,2
AF-25D59959DF,35-44,Hombre,Abonado,4.0,A Coruña,Comprador de servicios,1
AF-279F89F604,25-34,Hombre,No socio,5.0,Madrid,Sin segmentar,-1
AF-4873F34A84,25-34,Hombre,Abonado,8.0,A Coruña,Comprador de servicios,1
AF-2716298DF0,25-34,Hombre,Socio digital,3.0,A Coruña,Hincha digital intensivo,3
AF-2B0497B464,45-54,Mujer,Abonado,18.0,Ourense,Comprador de servicios,1
AF-ED86437C03,35-44,Hombre,No socio,5.0,Pontevedra,Sin segmentar,-1
AF-853D36E33D,45-54,Mujer,Socio digital,9.0,Pontevedra,Sin segmentar,-1
AF-CAD73F7733,25-34,Hombre,Socio digital,14.0,A Coruña,Sin segmentar,-1
AF-FABEBEC4A8,25-34,Hombre,No socio,7.0,Ourense,Seguidor social,2
AF-605939DEF4,55+,Hombre,Socio digital,6.0,Lugo,Sin segmentar,-1
AF-D5A6C63BAF,35-44,Hombre,Abonado,12.0,Pontevedra,Comprador de servicios,1
AF-61616B8224,25-34,Hombre,Socio digital,7.0,Lugo,Sin segmentar,-1
AF-B0AF6EF266,45-54,Hombre,Socio digital,4.0,Otras,Sin segmentar,-1
AF-33F3C6A6EB,55+,Hombre,Abonado,3.0,A Coruña,Seguidor social,2
AF-992B008339,55+,Hombre,Abonado,2.0,Pontevedra,Comprador de servicios,1
AF-CCA56DB742,25-34,Mujer,Abonado,7.0,Madrid,Seguidor social,2
AF-73A82986B4,35-44,Mujer,Abonado,7.0,A Coruña,Aficionado latente,0
AF-411CCC972A,25-34,Hombre,Socio digital,11.0,A Coruña,Sin segmentar,-1
AF-BC2E7E9522,45-54,Hombre,Socio digital,9.0,Lugo,Comprador de servicios,1
AF-C97ADEEAFA,18-24,Hombre,No socio,6.0,A Coruña,Sin segmentar,-1
AF-7A0C082147,35-44,Hombre,Socio digital,5.0,A Coruña,Aficionado latente,0
AF-B865AC68B8,35-44,Hombre,Socio digital,5.0,Madrid,Seguidor social,2
AF-6D6D5DD585,55+,Hombre,Abonado,8.0,Lugo,Sin segmentar,-1
AF-A5BCAA21AA,25-34,Mujer,Socio digital,4.0,Madrid,Hincha digital intensivo,3
AF-2709F3A6AE,45-54,Hombre,Socio digital,5.0,Pontevedra,Sin segmentar,-1
AF-D67A3466DB,45-54,Hombre,Abonado,7.0,Pontevedra,Seguidor social,2
AF-666FF1AF72,55+,Hombre,Abonado,9.0,Lugo,Aficionado latente,0
AF-9B396B4AC8,25-34,Hombre,No socio,3.0,A Coruña,Hincha digital intensivo,3
AF-C8F99B68A8,25-34,Hombre,No socio,1.0,A Coruña,Sin segmentar,-1
AF-4E051C1234,35-44,Hombre,No socio,9.0,Pontevedra,Aficionado latente,0
AF-CCAD65DC85,18-24,Hombre,No socio,6.0,Madrid,Seguidor social,2
AF-E58B5E305C,18-24,Mujer,Socio digital,15.0,A Coruña,Sin segmentar,-1
AF-2D318F03BF,35-44,Hombre,Socio digital,8.0,A Coruña,Aficionado latente,0
AF-A71DF0D306,35-44,Hombre,Abonado,0.0,A Coruña,Sin segmentar,-1
AF-E94D66D8D3,25-34,Mujer,Socio digital,9.0,A Coruña,Hincha digital intensivo,3
AF-6085D9B28F,35-44,Hombre,Abonado,3.0,A Coruña,Sin segmentar,-1
AF-750D117732,35-44,Hombre,Socio digital,8.0,A Coruña,Sin segmentar,-1
AF-4ACB7D54DA,25-34,Hombre,No socio,6.0,Madrid,Hincha digital intensivo,3
AF-2C73FA4BD9,35-44,Hombre,No socio,12.0,Otras,Sin segmentar,-1
AF-84880B8446,45-54,Hombre,Socio digital,6.0,A Coruña,Aficionado latente,0
AF-31846F2740,55+,Mujer,No socio,7.0,Pontevedra,Aficionado latente,0
AF-3EC455D7F5,45-54,Mujer,Abonado,2.0,Otras,Sin segmentar,-1
AF-EF7CDBE0E4,55+,Hombre,No socio,12.0,A Coruña,Sin segmentar,-1
AF-B2117015C6,35-44,Mujer,No socio,3.0,Madrid,Comprador de servicios,1
AF-7425A4BA73,45-54,Hombre,Abonado,4.0,Asturias,Comprador de servicios,1
AF-97461CE226,18-24,Hombre,Abonado,3.0,A Coruña,Sin segmentar,-1
AF-26725729A2,25-34,Hombre,No socio,6.0,Pontevedra,Hincha digital intensivo,3
AF-E643716928,45-54,Mujer,Abonado,4.0,Lugo,Aficionado latente,0
AF-EE669B5438,55+,Hombre,Socio digital,3.0,Pontevedra,Aficionado latente,0
AF-942B80F7DF,35-44,Mujer,Abonado,11.0,A Coruña,Comprador de servicios,1
AF-9B38096B16,55+,Hombre,No socio,11.0,Ourense,Seguidor social,2
AF-A2B6DEE9D6,18-24,Mujer,Abonado,4.0,Madrid,Sin segmentar,-1
AF-7211CAF04E,25-34,Hombre,No socio,6.0,Asturias,Seguidor social,2
AF-32B6B8F809,35-44,Hombre,Abonado,2.0,A Coruña,Comprador de servicios,1
AF-6031C61A44,45-54,Hombre,No socio,6.0,A Coruña,Seguidor social,2
AF-6D0E90AC99,18-24,Hombre,Socio digital,6.0,Asturias,Seguidor social,2
AF-2FB03E3AE9,18-24,Hombre,Socio digital,6.0,Pontevedra,Sin segmentar,-1
AF-A1D89D1E17,45-54,Mujer,No socio,8.0,A Coruña,Aficionado latente,0
AF-74C32E08F3,45-54,Hombre,Socio digital,1.0,Madrid,Comprador de servicios,1
AF-7A81E970BD,25-34,Hombre,No socio,8.0,A Coruña,Sin segmentar,-1
AF-5D71B1690F,55+,Hombre,Socio digital,13.0,Madrid,Comprador de servicios,1
AF-AD1ABBB16A,35-44,Hombre,No socio,14.0,A Coruña,Hincha digital intensivo,3
AF-9DB67598D7,55+,Hombre,Abonado,5.0,A Coruña,Sin segmentar,-1
AF-AC49CE43FC,25-34,Mujer,Abonado,12.0,Madrid,Comprador de servicios,1
AF-89D81DE43B,18-24,Mujer,Socio digital,16.0,A Coruña,Hincha digital intensivo,3
AF-4F09C94F6B,45-54,Hombre,No socio,2.0,A Coruña,Sin segmentar,-1
AF-B2B8EF2BE1,35-44,Mujer,No socio,11.0,A Coruña,Aficionado latente,0
AF-837767BE25,55+,Hombre,No socio,9.0,Madrid,Sin segmentar,-1
AF-49B98FC918,55+,Mujer,Abonado,8.0,Barcelona,Seguidor social,2
AF-4A5049FDAB,25-34,Hombre,Abonado,19.0,A Coruña,Aficionado latente,0
AF-F80DBCEDBE,55+,Hombre,Abonado,7.0,Ourense,Comprador de servicios,1
AF-F5D77309A8,45-54,Mujer,Abonado,7.0,A Coruña,Sin segmentar,-1
AF-D019E6F21E,18-24,Mujer,No socio,3.0,Madrid,Sin segmentar,-1
AF-D65191B26C,35-44,Hombre,No socio,6.0,Pontevedra,Comprador de servicios,1
AF-076E09C67B,45-54,Hombre,No socio,8.0,Madrid,Sin segmentar,-1
AF-EDC9062F13,45-54,Hombre,No socio,5.0,Ourense,Seguidor social,2
AF-785C76ACA5,55+,Hombre,Socio digital,14.0,A Coruña,Aficionado latente,0
AF-4964E872B3,55+,Hombre,No socio,7.0,Madrid,Aficionado latente,0
AF-85017B25B8,18-24,Hombre,Abonado,5.0,Pontevedra,Sin segmentar,-1
AF-ECAE472D86,18-24,Mujer,Socio digital,2.0,A Coruña,Hincha digital intensivo,3
AF-9F6CAF40B7,25-34,Hombre,No socio,10.0,A Coruña,Sin segmentar,-1
AF-12623AE27D,35-44,Hombre,Abonado,20.0,Madrid,Sin segmentar,-1
AF-2D0CAF1507,35-44,Hombre,Socio digital,7.0,A Coruña,Hincha digital intensivo,3
AF-41E7C879CB,25-34,Hombre,Abonado,3.0,A Coruña,Comprador de servicios,1
AF-A4EEECF670,25-34,Hombre,No socio,10.0,A Coruña,Sin segmentar,-1
AF-445D60A9A5,18-24,Mujer,Abonado,11.0,Lugo,Sin segmentar,-1
AF-D33A020946,25-34,Hombre,Socio digital,8.0,A Coruña,Sin segmentar,-1
AF-71DE95CC9E,35-44,Hombre,Abonado,5.0,A Coruña,Comprador de servicios,1
AF-20F26FED39,18-24,Hombre,Abonado,6.0,Ourense,Aficionado latente,0
AF-A16A59BF40,25-34,Hombre,No socio,10.0,A Coruña,Aficionado latente,0
AF-E6B1572580,35-44,Hombre,No socio,11.0,A Coruña,Comprador de servicios,1
AF-5AB22884B3,25-34,Hombre,Abonado,2.0,A Coruña,Sin segmentar,-1
AF-D5545C86D5,45-54,Hombre,No socio,9.0,A Coruña,Hincha digital intensivo,3
AF-E8471D527C,35-44,Mujer,No socio,12.0,A Coruña,Sin segmentar,-1
AF-623F68C917,18-24,Hombre,No socio,10.0,Asturias,Sin segmentar,-1
AF-5ED170D014,35-44,Hombre,Abonado,4.0,A Coruña,Hincha digital intensivo,3
AF-7757FC21A2,35-44,Hombre,Socio digital,13.0,Otras,Sin segmentar,-1
AF-8F88B5FC29,25-34,Mujer,Abonado,7.0,A Coruña,Sin segmentar,-1
AF-262CEEA441,35-44,Hombre,No socio,12.0,Barcelona,Hincha digital intensivo,3
AF-09F8233C0A,45-54,Hombre,No socio,7.0,A Coruña,Seguidor social,2
AF-47DD2669D9,45-54,Hombre,Abonado,19.0,A Coruña,Comprador de servicios,1
AF-806A463418,55+,Mujer,Abonado,13.0,A Coruña,Sin segmentar,-1
AF-E0A8AA3606,25-34,Mujer,No socio,3.0,Otras,Seguidor social,2
AF-61B7EE7B98,45-54,Mujer,Abonado,7.0,A Coruña,Comprador de servicios,1
AF-118042060B,35-44,Mujer,Socio digital,11.0,Pontevedra,Aficionado latente,0
AF-3EB5B4557D,18-24,Mujer,No socio,3.0,Pontevedra,Aficionado latente,0
AF-4EC82DA97D,25-34,Hombre,Socio digital,6.0,A Coruña,Hincha digital intensivo,3
AF-04D0F10B98,25-34,Hombre,Socio digital,6.0,Pontevedra,Seguidor social,2
AF-C245DC3177,35-44,Hombre,No socio,5.0,Ourense,Aficionado latente,0
AF-04DBEBA3C5,25-34,Hombre,Abonado,6.0,Barcelona,Hincha digital intensivo,3
AF-B6CE9C5AFC,25-34,Mujer,No socio,14.0,Barcelona,Seguidor social,2
AF-4FEBC00860,45-54,Hombre,Abonado,1.0,Lugo,Sin segmentar,-1
AF-946C2AC3B0,55+,Hombre,No socio,9.0,Madrid,Seguidor social,2
AF-F7815FC299,35-44,Mujer,Socio digital,26.0,A Coruña,Hincha digital intensivo,3
AF-228374CD90,25-34,Mujer,No socio,1.0,Pontevedra,Sin segmentar,-1
AF-69E234ECF6,45-54,Hombre,Abonado,7.0,A Coruña,Seguidor social,2
AF-5057911E8E,25-34,Hombre,Abonado,19.0,A Coruña,Aficionado latente,0
AF-027ECD0846,35-44,Mujer,Abonado,10.0,A Coruña,Sin segmentar,-1
AF-3D1827CA97,35-44,Mujer,No socio,14.0,Asturias,Seguidor social,2
AF-3A97ABB22B,25-34,Hombre,Abonado,3.0,Pontevedra,Comprador de servicios,1
AF-C487B546D4,25-34,Mujer,Socio digital,12.0,Ourense,Comprador de servicios,1
AF-17D1B3DB60,18-24,Hombre,Abonado,29.0,Pontevedra,Hincha digital intensivo,3
AF-CB99CADC91,18-24,Hombre,Socio digital,10.0,A Coruña,Sin segmentar,-1
AF-0F2D8761CA,25-34,Hombre,No socio,7.0,A Coruña,Sin segmentar,-1
AF-0A5B837F85,25-34,Mujer,No socio,5.0,Pontevedra,Sin segmentar,-1
AF-02C82EFF49,35-44,Hombre,No socio,2.0,Pontevedra,Sin segmentar,-1
AF-D1FA14B7A6,55+,Mujer,Abonado,6.0,A Coruña,Sin segmentar,-1
AF-B6A9ABC3B4,35-44,Mujer,Abonado,2.0,Otras,Hincha digital intensivo,3
AF-FB5CBC2F98,35-44,Hombre,Socio digital,12.0,A Coruña,Seguidor social,2
AF-1A96AEB0B6,55+,Mujer,Abonado,12.0,Otras,Hincha digital intensivo,3
AF-7730FD8905,55+,Hombre,No socio,5.0,Barcelona,Seguidor social,2
AF-B6E1A8468B,35-44,Mujer,Abonado,6.0,Barcelona,Sin segmentar,-1
AF-643B8C46A6,35-44,Hombre,No socio,3.0,Pontevedra,Aficionado latente,0
AF-8A1E1404DE,45-54,Hombre,Abonado,11.0,Madrid,Comprador de servicios,1
AF-784620D50D,18-24,Hombre,Socio digital,13.0,Madrid,Sin segmentar,-1
AF-90A22B1047,35-44,Hombre,No socio,2.0,Lugo,Seguidor social,2
AF-95C66B4A9F,18-24,Hombre,Socio digital,2.0,A Coruña,Comprador de servicios,1
AF-565236F9D3,35-44,Hombre,No socio,1.0,Pontevedra,Sin segmentar,-1
AF-4534C1FDBB,25-34,Hombre,No socio,7.0,Lugo,Seguidor social,2
AF-771D836FA3,18-24,Mujer,Abonado,14.0,Madrid,Comprador de servicios,1
AF-2C86A8F215,45-54,Mujer,No socio,5.0,A Coruña,Comprador de servicios,1
AF-39AB1EBECF,45-54,Mujer,No socio,11.0,A Coruña,Aficionado latente,0
AF-9AEC85D6A7,35-44,Mujer,Socio digital,6.0,Ourense,Comprador de servicios,1
AF-2135549A0A,35-44,Mujer,Abonado,8.0,Madrid,Sin segmentar,-1
