aficionado_id,vp_1,vp_2,vp_3,vp_4,ewom_1,ewom_2,ewom_3,ewom_4,info_1,info_2
AF-E643716928,3,4,5,3,1,1,1,1,4,4
AF-61B7EE7B98,5,4,5,4,6,3,3,4,4,5
AF-851DB5B373,5,4,4,4,4,4,4,5,4,4
AF-D4A8A1E4BD,4,5,5,3,5,6,4,5,6,5
AF-5987FC9E2D,3,3,3,2,3,4,3,3,3,3
AF-992B008339,6,6,5,5,3,4,4,5,5,5
AF-2D318F03BF,3,4,4,3,5,4,2,3,3,3
AF-5D576E670F,6,5,5,5,2,3,3,2,3,3
AF-38D0EEF4F8,5,6,6,5,5,4,3,5,5,4
AF-0CA63A9E97,6,6,6,5,5,5,4,4,3,3
AF-1D477AE65D,4,5,5,4,3,4,2,3,2,2
AF-F3C8510AA6,5,4,5,5,3,3,5,2,4,5
AF-4D054E41A1,4,5,6,6,4,3,3,2,3,3
AF-19E26A1D9B,5,5,7,7,6,5,5,5,5,6
AF-22BA54B7D7,4,4,4,4,4,4,4,3,5,3
AF-FF0A5628C3,5,5,5,7,7,6,6,6,5,4
AF-98C34A97B2,6,5,6,4,4,3,5,4,6,6
AF-F111EFA00C,6,7,6,6,4,4,3,4,7,7
AF-6F90121F11,3,5,5,5,3,1,3,2,6,5
AF-130B2A515C,4,4,4,6,5,3,4,4,5,4
AF-6208D16BFB,4,5,5,5,5,4,2,4,3,4
AF-643B8C46A6,3,4,3,4,5,3,3,4,4,3
AF-73B3943BA2,7,6,7,6,4,7,6,7,6,5
AF-97CD301DFB,5,5,6,3,4,5,3,4,3,4
AF-D0668D260E,5,4,5,4,4,4,4,4,5,5
AF-6CD6EA2806,5,5,5,5,4,6,4,5,3,2
AF-1FE768FF76,3,3,3,3,3,2,3,2,1,1
AF-4E051C1234,4,3,4,5,3,2,3,3,2,3
AF-B4C295C57A,4,5,5,4,3,3,4,3,5,3
AF-18E8F708B2,5,6,5,5,4,3,5,4,6,5
AF-00518C1731,4,4,5,4,3,4,4,4,6,4
AF-956EFE21E3,5,6,5,5,5,7,6,7,3,3
AF-85E44E732B,6,6,4,6,4,5,5,2,4,3
AF-4FA4691EDF,3,4,4,4,4,6,3,5,5,5
AF-1ADD769D07,4,4,3,1,2,3,4,4,3,3
AF-D26D1F6C4C,4,4,5,4,3,4,2,4,7,6
AF-499D2E6E40,6,4,4,3,3,3,3,2,4,4
AF-EB834A9CC6,5,6,6,6,7,6,5,6,5,5
AF-5E3EAD4383,4,3,4,4,6,4,4,4,5,5
AF-A40362A298,3,5,4,4,3,4,3,4,3,3
AF-DD73ADE7FD,5,4,4,2,4,5,4,4,2,2
AF-D274A3FBF1,4,4,5,5,3,5,3,3,7,6
AF-B5DF7AE365,5,4,4,4,3,4,3,4,3,2
AF-E94D66D8D3,5,5,5,3,4,4,6,6,6,6
AF-02A35A9D15,6,5,6,5,2,3,3,3,7,7
AF-567C070403,4,4,5,4,3,2,3,2,4,4
AF-CF6B499188,3,4,5,3,6,7,6,7,4,3
AF-C2D0DB0134,6,6,6,5,6,5,7,5,5,5
AF-1CFB2E5001,5,6,4,5,4,3,4,3,3,3
AF-C9F39C1ED2,3,3,4,3,4,4,4,3,3,4
AF-E91D4B70F7,5,5,6,7,2,4,4,3,7,6
AF-03D634CA98,4,5,4,4,4,3,2,2,3,3
AF-D4E8FBC71F,6,5,4,4,5,4,4,5,4,4
AF-FAC61A9EE0,4,4,5,5,3,3,5,4,3,3
AF-D4888DA03A,4,4,4,4,3,3,5,4,4,5
AF-B5037B172D,5,5,5,6,5,6,6,6,5,6
AF-31A188280B,7,4,6,5,6,7,6,6,6,5
AF-57CBA26542,4,4,4,4,3,2,2,2,2,2
AF-9DCE1913BB,3,4,5,4,4,4,3,3,5,3
AF-CA66B53950,3,5,5,4,5,7,6,6,2,2
AF-1E7698366F,5,3,3,4,3,1,1,1,1,2
AF-528946D5C2,4,5,4,3,3,4,4,5,3,3
AF-41E7C879CB,6,6,6,4,4,4,4,4,5,5
AF-7E9BA07756,3,4,4,5,4,3,4,5,2,5
AF-B0F438B681,5,5,4,4,3,6,5,4,4,5
AF-176304C7EC,5,5,6,5,3,3,2,3,5,3
AF-00FE5CFD46,4,4,4,4,4,5,4,3,4,3
AF-9E21B67652,4,4,6,5,5,5,5,5,4,4
AF-7B67FE5C6E,4,5,5,5,4,4,4,3,5,5
AF-84677026B7,5,4,3,3,5,6,7,4,6,5
AF-5D71B1690F,5,5,6,6,4,4,3,3,4,4
AF-5A1ABBCCE9,5,5,5,4,2,5,5,4,2,3
AF-3E62E6665C,6,5,5,6,3,4,4,4,4,4
AF-D9326E0A8A,5,5,5,4,6,4,4,6,4,4
AF-F4E6EAE2E4,6,7,6,5,5,4,6,6,5,5
AF-59542D6595,5,4,5,4,4,4,5,5,3,4
AF-BED79B928A,5,5,5,3,3,4,4,4,3,2
AF-F82DFE8137,4,4,4,4,3,2,3,3,4,4
AF-B367780174,5,5,4,4,4,5,4,4,3,4
AF-9EA547B4B8,4,3,4,5,6,4,5,4,5,4
AF-A9D038F2CA,6,5,5,4,4,3,3,3,3,3
AF-BE4F399505,4,4,4,4,4,3,3,4,7,7
AF-6D0E90AC99,5,5,4,5,5,6,6,5,4,3
AF-999742BD15,5,4,4,5,4,3,2,2,4,4
AF-F2C8071FFD,5,5,5,6,5,5,7,6,7,5
AF-675978FEF2,6,6,6,6,4,4,3,3,6,6
AF-7490BA31EB,6,6,6,4,6,5,4,5,4,5
AF-2943D09E9B,5,6,6,6,5,6,6,6,6,6
AF-A163928B6B,5,6,6,5,4,4,4,4,3,3
AF-7D3DDDC97E,5,4,4,4,4,2,2,2,3,3
AF-579F310140,7,7,6,3,7,6,6,6,6,5
AF-7517792768,7,7,7,5,6,4,5,5,7,7
AF-BEF8E6C02E,6,6,5,5,3,3,3,3,4,3
AF-A07E59016D,3,3,3,4,2,1,4,2,3,4
AF-20F26FED39,4,4,4,2,4,4,3,4,3,3
AF-971986CA93,6,6,7,6,7,6,7,7,6,5
AF-7A61605A98,6,5,6,5,3,2,2,3,4,4
AF-EAB0CDA669,4,4,5,2,3,2,2,3,3,3
AF-97C0977F8F,4,3,4,4,6,5,4,5,4,3
AF-3A22B90256,5,4,3,4,3,4,5,5,2,4
AF-6EAC1C4E52,5,4,5,4,6,5,7,6,5,4
AF-9440E8980A,5,5,5,3,3,4,4,4,4,4
AF-AC0CFF5D63,6,5,5,4,2,2,5,3,5,4
AF-2A8FDD834A,5,4,5,5,5,5,5,5,5,5
AF-25C1C84C96,6,6,6,6,4,4,4,4,5,5
AF-ED0F0DFAB5,5,6,5,5,4,4,3,3,4,3
AF-3F4151907A,3,3,3,3,3,1,2,2,5,4
AF-2D0C7858B3,4,5,5,6,3,4,1,3,1,3
AF-4534C1FDBB,4,3,4,3,5,4,6,5,4,4
AF-0E7B8E023C,6,6,6,5,5,5,5,3,5,5
AF-742A555781,5,4,5,7,5,4,3,4,5,3
AF-A80934298E,5,5,4,4,3,4,3,4,4,3
AF-F0FDF79CFE,5,5,4,5,6,4,4,4,6,5
AF-7F70E967E7,3,5,5,4,3,4,3,3,2,2
AF-2628BC21AE,5,5,5,4,5,5,5,4,3,5
AF-BE254D0C5C,6,6,6,4,6,5,6,6,4,5
AF-0BB1EECB70,4,4,3,4,5,3,4,4,3,5
AF-86B8ED5BC8,5,5,5,5,1,2,2,1,3,4
AF-D14DF871ED,5,5,5,5,1,2,3,2,5,6
AF-D9B48CFA7C,7,7,6,7,5,6,7,6,4,5
AF-D98676D7FD,4,5,5,5,3,2,2,3,3,3
AF-314BAC5A5F,3,4,4,3,2,1,4,3,4,3
AF-9E92A11AE0,5,5,5,4,6,5,7,5,5,4
AF-D65659ABAF,4,4,4,4,3,3,1,3,3,2
AF-AB31BCBB77,5,3,3,6,5,4,4,5,5,4
AF-0931741F2F,4,5,4,5,4,2,3,3,3,3
AF-4E9B4E9B17,5,5,5,5,4,5,4,4,4,2
AF-9EBE1888BD,5,6,5,6,6,5,7,7,4,5
AF-BC3CC8F485,6,6,6,5,1,2,3,1,4,4
AF-DC3A86274E,4,5,5,5,5,4,2,4,4,5
AF-458AB9E5A2,6,6,6,4,3,3,3,4,6,7
AF-2256C2ABFF,5,5,4,5,3,6,4,6,6,5
AF-EB8E9EE952,4,5,6,6,5,5,4,3,1,2
AF-32B6B8F809,6,6,6,5,4,5,4,5,3,3
AF-69FE6522DF,5,5,4,6,3,4,4,3,5,6
AF-FABEBEC4A8,5,6,5,5,3,4,4,4,5,4
AF-CCAD65DC85,5,4,4,5,3,2,2,1,4,4
AF-BF211F57B8,5,5,5,4,3,5,4,4,5,4
AF-8A1E1404DE,4,4,5,4,3,2,3,4,7,5
AF-03762F3BB4,4,5,4,5,2,2,3,2,3,5
AF-674B505C84,3,4,4,4,4,4,3,2,3,3
AF-09F8233C0A,6,5,5,6,5,4,4,4,3,3
AF-F3E564F927,3,5,5,4,4,2,2,3,4,3
AF-49C5626CAB,6,3,4,5,4,5,4,5,3,2
AF-3E6A03AEB3,3,3,3,4,5,2,4,3,2,1
AF-15E29CC1AE,5,5,5,3,5,4,4,3,5,4
AF-5BAC285A91,4,4,5,6,6,6,4,6,5,5
AF-726A3BD3D6,4,3,3,4,5,2,4,2,7,6
AF-AE02C2287C,5,4,5,5,6,3,4,4,1,3
AF-7A0C082147,4,4,4,4,2,3,4,5,2,3
AF-C38A9A8284,3,4,4,4,4,7,5,6,4,4
AF-EB0C8B61A0,3,3,4,5,4,3,3,3,4,3
AF-483CA29082,3,4,4,4,5,5,5,4,4,3
AF-1861F92B84,4,5,5,4,4,3,2,3,2,1
AF-0ED9E9E99B,5,4,4,5,3,3,4,3,2,2
AF-39E8D4984E,5,6,6,6,5,6,4,5,5,4
AF-6D7CB56261,4,4,3,6,4,2,4,2,5,4
AF-7A21AEF599,2,3,3,3,4,3,4,3,5,3
AF-C80C626CD6,6,6,6,5,6,4,4,6,4,3
AF-4EAC975B19,5,4,5,3,5,6,5,6,1,1
AF-FB5CBC2F98,7,5,6,4,7,5,5,6,2,4
AF-262CEEA441,6,4,5,4,7,6,5,6,6,6
AF-2C86A8F215,4,5,5,5,4,4,5,5,6,5
AF-6EEC8A1495,5,4,5,5,3,4,3,3,4,4
AF-691ED90E9D,4,4,5,3,5,5,5,5,3,2
AF-0D781ADF95,4,4,5,5,4,3,3,3,4,3
AF-0854353552,5,6,6,2,5,5,5,5,5,5
AF-E3B262C636,5,5,5,5,3,3,5,4,4,4
AF-CA75C1A6E9,6,6,6,5,4,5,4,6,6,4
AF-B2B8EF2BE1,5,3,5,5,4,2,2,4,2,2
AF-CFFE1972FB,4,4,4,5,4,5,3,4,4,4
AF-5CE06EC95B,4,4,3,2,3,3,4,3,3,3
AF-F80DBCEDBE,4,4,4,4,4,3,3,4,6,7
AF-D28FFBDC95,4,6,5,6,5,2,4,4,6,5
AF-7FACB7D105,5,4,4,3,5,5,3,4,2,2
AF-E350A07C33,6,5,6,5,3,5,4,4,6,6
AF-AEB9C00739,5,4,4,5,3,7,5,6,3,3
AF-E7F9DD59D3,5,5,6,7,4,4,4,5,4,3
AF-D4860A84B1,4,5,5,7,4,6,3,4,7,6
AF-F0194A4D43,5,4,5,3,3,6,5,4,3,2
AF-E9715A55AC,4,5,5,5,3,2,3,3,6,5
AF-78F509EE80,5,6,7,4,6,4,4,3,7,6
AF-1474CF8C01,5,4,4,5,4,3,3,3,2,3
AF-DDF84C537F,5,3,3,3,4,2,3,2,2,3
AF-57CD8166FE,5,6,5,5,5,4,4,4,5,4
AF-27842FC71B,4,5,5,3,3,3,3,3,5,5
AF-72DEA88881,3,3,4,4,4,3,2,2,4,3
AF-ECAE472D86,5,7,6,6,4,4,5,5,6,5
AF-FE4ED3A507,5,6,6,6,2,4,4,3,1,2
AF-FC5F6D22B8,6,5,6,5,6,5,4,6,4,4
AF-402AD584CD,4,5,5,3,6,4,3,3,4,5
AF-33F3C6A6EB,3,4,5,4,5,4,5,4,4,5
AF-2B3AB5061B,3,3,5,4,2,3,2,1,3,3
